seller_id,product_id,product_name,company_name,supplier_type,location,contact_person,phone_number,email,reliability_score,average_delivery_days,price_competitiveness,delivery_reliability_percent,payment_terms,minimum_order_quantity,created_date,last_updated,status
SELL_5001_01,5001,Mangoes (per kg),Maharashtra Fruit Wholesaler,Fruit Wholesaler,"Malad West, Mumbai",Manager_SELL_5001_01,+91 7626592386,sell_5001_01@maharashtrafruitwholesalersupplies.com,86.8,4,1.128,94.8,COD,137,2025-12-15,2025-12-15,active
SELL_5001_02,5001,Mangoes (per kg),Mumbai Agricultural Supplier Co.,Agricultural Supplier,"Goregaon East, Mumbai",Manager_SELL_5001_02,+91 9333377969,sell_5001_02@mumbaiagriculturalsuppliercosupplies.com,75.2,6,1.047,88.3,Net 30,107,2025-12-15,2025-12-15,active
SELL_5001_03,5001,Mangoes (per kg),Supreme Farmers Market,Farmers Market,"Kandivali West, Mumbai",Manager_SELL_5001_03,+91 9423328431,sell_5001_03@supremefarmersmarketsupplies.com,69.3,7,0.879,76.1,Advance 50%,64,2025-12-15,2025-12-15,active
SELL_5002_01,5002,Air Conditioners (1.5 Ton),Mumbai Electronics Hub,Electronics Distributor,"Borivali West, Mumbai",Manager_SELL_5002_01,+91 7883890038,sell_5002_01@mumbaielectronicshubsupplies.com,94.8,3,1.097,96.9,Advance 50%,18,2025-12-15,2025-12-15,active
SELL_5002_02,5002,Air Conditioners (1.5 Ton),Cool Air AC Manufacturer,AC Manufacturer,"Bandra West, Mumbai",Manager_SELL_5002_02,+91 9187033483,sell_5002_02@coolairacmanufacturersupplies.com,78.0,9,0.96,86.8,Advance 50%,12,2025-12-15,2025-12-15,active
SELL_5002_03,5002,Air Conditioners (1.5 Ton),Borivali West Trading Co.,Appliance Wholesaler,"Borivali West, Mumbai",Manager_SELL_5002_03,+91 7102187189,sell_5002_03@borivaliwesttradingcosupplies.com,68.9,9,0.868,77.6,Net 15,8,2025-12-15,2025-12-15,active
SELL_5003_01,5003,Winter Jackets,Fashion Hub Kandivali West,Clothing Manufacturer,"Kandivali West, Mumbai",Manager_SELL_5003_01,+91 9655742606,sell_5003_01@fashionhubkandivaliwestsupplies.com,94.7,7,1.128,97.5,COD,12,2025-12-15,2025-12-15,active
SELL_5003_02,5003,Winter Jackets,Fashion Hub Goregaon East,Textile Distributor,"Goregaon East, Mumbai",Manager_SELL_5003_02,+91 9124349099,sell_5003_02@fashionhubgoregaoneastsupplies.com,77.7,6,1.033,83.6,Net 30,13,2025-12-15,2025-12-15,active
SELL_5003_03,5003,Winter Jackets,Supreme Garment Supplier,Garment Supplier,"Andheri East, Mumbai",Manager_SELL_5003_03,+91 9607158190,sell_5003_03@supremegarmentsuppliersupplies.com,74.9,6,0.927,72.0,COD,21,2025-12-15,2025-12-15,active
SELL_5004_01,5004,Sweaters,Mumbai Knitwear Manufacturer,Knitwear Manufacturer,"Powai, Mumbai",Manager_SELL_5004_01,+91 7618462251,sell_5004_01@mumbaiknitwearmanufacturersupplies.com,92.9,2,1.111,97.4,Advance 50%,16,2025-12-15,2025-12-15,active
SELL_5004_02,5004,Sweaters,Fashion Hub Bandra West,Textile Supplier,"Bandra West, Mumbai",Manager_SELL_5004_02,+91 8911573335,sell_5004_02@fashionhubbandrawestsupplies.com,75.6,8,0.981,83.3,COD,7,2025-12-15,2025-12-15,active
SELL_5004_03,5004,Sweaters,Style Craft Industries,Clothing Wholesaler,"Andheri East, Mumbai",Manager_SELL_5004_03,+91 9376916910,sell_5004_03@stylecraftindustriessupplies.com,66.2,9,0.921,77.6,COD,13,2025-12-15,2025-12-15,active
SELL_5005_01,5005,Bread (per loaf),Mumbai Bakers Association,Bakery Supplier,"Vashi Navi Mumbai, Mumbai",Manager_SELL_5005_01,+91 9379264268,sell_5005_01@mumbaibakersassociationsupplies.com,89.4,5,1.07,97.2,Net 15,192,2025-12-15,2025-12-15,active
SELL_5005_02,5005,Bread (per loaf),Supreme Food Distributor,Food Distributor,"Pune Road, Mumbai",Manager_SELL_5005_02,+91 8954132299,sell_5005_02@supremefooddistributorsupplies.com,77.3,4,0.958,82.9,Net 15,94,2025-12-15,2025-12-15,active
SELL_5005_03,5005,Bread (per loaf),Daily Fresh Thane West,Bread Manufacturer,"Thane West, Mumbai",Manager_SELL_5005_03,+91 8615752941,sell_5005_03@dailyfreshthanewestsupplies.com,73.7,6,0.93,71.9,Advance 50%,141,2025-12-15,2025-12-15,active
SELL_5006_01,5006,Cooking Oil (1L),Mumbai Oil Distributor,Oil Distributor,"Thane West, Mumbai",Manager_SELL_5006_01,+91 7677665016,sell_5006_01@mumbaioildistributorsupplies.com,94.1,4,1.077,95.2,COD,186,2025-12-15,2025-12-15,active
SELL_5006_02,5006,Cooking Oil (1L),Supreme Food Wholesaler,Food Wholesaler,"Goregaon East, Mumbai",Manager_SELL_5006_02,+91 9802171087,sell_5006_02@supremefoodwholesalersupplies.com,76.2,3,0.984,89.4,Advance 50%,162,2025-12-15,2025-12-15,active
SELL_5006_03,5006,Cooking Oil (1L),Andheri East Trading Co.,FMCG Supplier,"Andheri East, Mumbai",Manager_SELL_5006_03,+91 9366477172,sell_5006_03@andherieasttradingcosupplies.com,74.6,4,0.875,75.0,Advance 50%,130,2025-12-15,2025-12-15,active
